from to amstar_level
A394 RW19 "high quality"
A679 RW19 "high quality"
A691 RW19 "high quality"
A705 RW19 "high quality"
A709 RW19 "high quality"
A712 RW19 "high quality"
A103 RW190 "high quality"
A349 RW190 "high quality"
A692 RW190 "high quality"
A720 RW190 "high quality"
A99 RW190 "high quality"
A152 RW191 "high quality"
A376 RW191 "high quality"
A377 RW191 "high quality"
A493 RW191 "high quality"
A540 RW191 "high quality"
A235 RW192 "high quality"
A24 RW192 "high quality"
A25 RW192 "high quality"
A677 RW193 "moderate quality"
A726 RW193 "moderate quality"
A146 RW194 "high quality"
A347 RW194 "high quality"
A503 RW194 "high quality"
A128 RW195 "low quality"
A297 RW195 "low quality"
A168 RW196 "moderate quality"
A34 RW196 "moderate quality"
A363 RW196 "moderate quality"
A430 RW196 "moderate quality"
A445 RW196 "moderate quality"
A463 RW196 "moderate quality"
A508 RW196 "moderate quality"
A518 RW196 "moderate quality"
A523 RW196 "moderate quality"
A531 RW196 "moderate quality"
A303 RW197 "moderate quality"
A373 RW197 "moderate quality"
A374 RW197 "moderate quality"
A424 RW197 "moderate quality"
A703 RW197 "moderate quality"
A732 RW197 "moderate quality"
A308 RW199 "moderate quality"
A476 RW199 "moderate quality"
A478 RW199 "moderate quality"
A461 RW2 "moderate quality"
A55 RW2 "moderate quality"
A612 RW2 "moderate quality"
A621 RW2 "moderate quality"
A623 RW2 "moderate quality"
A629 RW2 "moderate quality"
A291 RW20 "moderate quality"
A573 RW20 "moderate quality"
A618 RW20 "moderate quality"
A355 RW202 "low quality"
A600 RW202 "low quality"
A617 RW202 "low quality"
A680 RW202 "low quality"
A24 RW204 "low quality"
A62 RW204 "low quality"
A122 RW205 "low quality"
A145 RW205 "low quality"
A189 RW205 "low quality"
A20 RW205 "low quality"
A21 RW205 "low quality"
A273 RW205 "low quality"
A274 RW205 "low quality"
A29 RW205 "low quality"
A310 RW205 "low quality"
A33 RW205 "low quality"
A413 RW205 "low quality"
A446 RW205 "low quality"
A464 RW205 "low quality"
A500 RW205 "low quality"
A85 RW205 "low quality"
A122 RW206 "moderate quality"
A145 RW206 "moderate quality"
A189 RW206 "moderate quality"
A20 RW206 "moderate quality"
A21 RW206 "moderate quality"
A273 RW206 "moderate quality"
A274 RW206 "moderate quality"
A29 RW206 "moderate quality"
A310 RW206 "moderate quality"
A33 RW206 "moderate quality"
A413 RW206 "moderate quality"
A446 RW206 "moderate quality"
A464 RW206 "moderate quality"
A500 RW206 "moderate quality"
A86 RW206 "moderate quality"
A122 RW207 "moderate quality"
A145 RW207 "moderate quality"
A189 RW207 "moderate quality"
A20 RW207 "moderate quality"
A21 RW207 "moderate quality"
A273 RW207 "moderate quality"
A274 RW207 "moderate quality"
A29 RW207 "moderate quality"
A310 RW207 "moderate quality"
A33 RW207 "moderate quality"
A413 RW207 "moderate quality"
A446 RW207 "moderate quality"
A464 RW207 "moderate quality"
A500 RW207 "moderate quality"
A86 RW207 "moderate quality"
A122 RW208 "low quality"
A145 RW208 "low quality"
A189 RW208 "low quality"
A20 RW208 "low quality"
A21 RW208 "low quality"
A273 RW208 "low quality"
A274 RW208 "low quality"
A29 RW208 "low quality"
A310 RW208 "low quality"
A33 RW208 "low quality"
A413 RW208 "low quality"
A446 RW208 "low quality"
A464 RW208 "low quality"
A500 RW208 "low quality"
A86 RW208 "low quality"
A122 RW209 "moderate quality"
A145 RW209 "moderate quality"
A189 RW209 "moderate quality"
A20 RW209 "moderate quality"
A21 RW209 "moderate quality"
A273 RW209 "moderate quality"
A274 RW209 "moderate quality"
A29 RW209 "moderate quality"
A310 RW209 "moderate quality"
A33 RW209 "moderate quality"
A413 RW209 "moderate quality"
A446 RW209 "moderate quality"
A464 RW209 "moderate quality"
A500 RW209 "moderate quality"
A86 RW209 "moderate quality"
A216 RW21 "high quality"
A65 RW21 "high quality"
A650 RW21 "high quality"
A122 RW210 "moderate quality"
A145 RW210 "moderate quality"
A189 RW210 "moderate quality"
A20 RW210 "moderate quality"
A21 RW210 "moderate quality"
A273 RW210 "moderate quality"
A274 RW210 "moderate quality"
A29 RW210 "moderate quality"
A310 RW210 "moderate quality"
A33 RW210 "moderate quality"
A413 RW210 "moderate quality"
A446 RW210 "moderate quality"
A464 RW210 "moderate quality"
A500 RW210 "moderate quality"
A86 RW210 "moderate quality"
A122 RW211 "low quality"
A145 RW211 "low quality"
A189 RW211 "low quality"
A20 RW211 "low quality"
A21 RW211 "low quality"
A273 RW211 "low quality"
A274 RW211 "low quality"
A29 RW211 "low quality"
A310 RW211 "low quality"
A33 RW211 "low quality"
A413 RW211 "low quality"
A446 RW211 "low quality"
A464 RW211 "low quality"
A500 RW211 "low quality"
A86 RW211 "low quality"
A122 RW213 "low quality"
A145 RW213 "low quality"
A189 RW213 "low quality"
A20 RW213 "low quality"
A21 RW213 "low quality"
A273 RW213 "low quality"
A274 RW213 "low quality"
A29 RW213 "low quality"
A310 RW213 "low quality"
A33 RW213 "low quality"
A413 RW213 "low quality"
A446 RW213 "low quality"
A464 RW213 "low quality"
A500 RW213 "low quality"
A86 RW213 "low quality"
A10 RW214 "moderate quality"
A176 RW214 "moderate quality"
A24 RW214 "moderate quality"
A244 RW214 "moderate quality"
A39 RW214 "moderate quality"
A220 RW215 "moderate quality"
A324 RW215 "moderate quality"
A330 RW215 "moderate quality"
A340 RW215 "moderate quality"
A38 RW215 "moderate quality"
A278 RW216 "low quality"
A286 RW216 "low quality"
A505 RW216 "low quality"
A163 RW217 "moderate quality"
A237 RW217 "moderate quality"
A497 RW217 "moderate quality"
A72 RW217 "moderate quality"
A642 RW22 "moderate quality"
A708 RW22 "moderate quality"
A719 RW22 "moderate quality"
A332 RW221 "moderate quality"
A368 RW221 "moderate quality"
A588 RW221 "moderate quality"
A689 RW221 "moderate quality"
A707 RW221 "moderate quality"
A718 RW221 "moderate quality"
A97 RW221 "moderate quality"
A193 RW224 "moderate quality"
A339 RW224 "moderate quality"
A351 RW224 "moderate quality"
A638 RW224 "moderate quality"
A669 RW224 "moderate quality"
A93 RW224 "moderate quality"
A206 RW225 "moderate quality"
A305 RW225 "moderate quality"
A306 RW225 "moderate quality"
A495 RW225 "moderate quality"
A174 RW229 "moderate quality"
A289 RW229 "moderate quality"
A462 RW229 "moderate quality"
A483 RW229 "moderate quality"
A543 RW229 "moderate quality"
A109 RW23 "moderate quality"
A139 RW23 "moderate quality"
A218 RW23 "moderate quality"
A421 RW23 "moderate quality"
A537 RW23 "moderate quality"
A635 RW23 "moderate quality"
A79 RW23 "moderate quality"
A131 RW230 "high quality"
A137 RW230 "high quality"
A186 RW230 "high quality"
A213 RW230 "high quality"
A277 RW230 "high quality"
A280 RW230 "high quality"
A286 RW230 "high quality"
A296 RW230 "high quality"
A307 RW230 "high quality"
A315 RW230 "high quality"
A405 RW230 "high quality"
A515 RW230 "high quality"
A55 RW230 "high quality"
A577 RW230 "high quality"
A153 RW231 "high quality"
A200 RW231 "high quality"
A3 RW231 "high quality"
A434 RW231 "high quality"
A553 RW231 "high quality"
A614 RW231 "high quality"
A122 RW232 "moderate quality"
A189 RW232 "moderate quality"
A20 RW232 "moderate quality"
A273 RW232 "moderate quality"
A274 RW232 "moderate quality"
A29 RW232 "moderate quality"
A310 RW232 "moderate quality"
A33 RW232 "moderate quality"
A397 RW232 "moderate quality"
A413 RW232 "moderate quality"
A416 RW232 "moderate quality"
A446 RW232 "moderate quality"
A464 RW232 "moderate quality"
A500 RW232 "moderate quality"
A530 RW232 "moderate quality"
A122 RW233 "moderate quality"
A189 RW233 "moderate quality"
A20 RW233 "moderate quality"
A273 RW233 "moderate quality"
A274 RW233 "moderate quality"
A29 RW233 "moderate quality"
A310 RW233 "moderate quality"
A33 RW233 "moderate quality"
A397 RW233 "moderate quality"
A413 RW233 "moderate quality"
A416 RW233 "moderate quality"
A446 RW233 "moderate quality"
A464 RW233 "moderate quality"
A500 RW233 "moderate quality"
A530 RW233 "moderate quality"
A122 RW235 "moderate quality"
A189 RW235 "moderate quality"
A20 RW235 "moderate quality"
A273 RW235 "moderate quality"
A274 RW235 "moderate quality"
A29 RW235 "moderate quality"
A310 RW235 "moderate quality"
A33 RW235 "moderate quality"
A397 RW235 "moderate quality"
A413 RW235 "moderate quality"
A416 RW235 "moderate quality"
A446 RW235 "moderate quality"
A464 RW235 "moderate quality"
A500 RW235 "moderate quality"
A530 RW235 "moderate quality"
A134 RW238 "low quality"
A391 RW238 "low quality"
A402 RW238 "low quality"
A622 RW238 "low quality"
A628 RW238 "low quality"
A550 RW24 "moderate quality"
A665 RW24 "moderate quality"
A690 RW24 "moderate quality"
A737 RW24 "moderate quality"
A517 RW240 "moderate quality"
A58 RW240 "moderate quality"
A593 RW240 "moderate quality"
A110 RW241 "low quality"
A48 RW241 "low quality"
A135 RW245 "moderate quality"
A136 RW245 "moderate quality"
A539 RW245 "moderate quality"
A622 RW245 "moderate quality"
A238 RW246 "low quality"
A313 RW246 "low quality"
A556 RW246 "low quality"
A122 RW249 "low quality"
A20 RW249 "low quality"
A215 RW249 "low quality"
A273 RW249 "low quality"
A274 RW249 "low quality"
A29 RW249 "low quality"
A310 RW249 "low quality"
A37 RW249 "low quality"
A446 RW249 "low quality"
A464 RW249 "low quality"
A481 RW249 "low quality"
A485 RW249 "low quality"
A499 RW249 "low quality"
A64 RW249 "low quality"
A122 RW250 "low quality"
A20 RW250 "low quality"
A215 RW250 "low quality"
A273 RW250 "low quality"
A274 RW250 "low quality"
A29 RW250 "low quality"
A310 RW250 "low quality"
A37 RW250 "low quality"
A446 RW250 "low quality"
A464 RW250 "low quality"
A481 RW250 "low quality"
A485 RW250 "low quality"
A499 RW250 "low quality"
A64 RW250 "low quality"
A122 RW252 "low quality"
A20 RW252 "low quality"
A215 RW252 "low quality"
A273 RW252 "low quality"
A274 RW252 "low quality"
A29 RW252 "low quality"
A310 RW252 "low quality"
A37 RW252 "low quality"
A446 RW252 "low quality"
A464 RW252 "low quality"
A481 RW252 "low quality"
A485 RW252 "low quality"
A499 RW252 "low quality"
A64 RW252 "low quality"
A311 RW253 "low quality"
A436 RW253 "low quality"
A479 RW253 "low quality"
A56 RW253 "low quality"
A572 RW253 "low quality"
A576 RW253 "low quality"
A122 RW254 "moderate quality"
A20 RW254 "moderate quality"
A215 RW254 "moderate quality"
A273 RW254 "moderate quality"
A274 RW254 "moderate quality"
A29 RW254 "moderate quality"
A310 RW254 "moderate quality"
A37 RW254 "moderate quality"
A446 RW254 "moderate quality"
A464 RW254 "moderate quality"
A481 RW254 "moderate quality"
A485 RW254 "moderate quality"
A499 RW254 "moderate quality"
A64 RW254 "moderate quality"
A335 RW26 "moderate quality"
A590 RW26 "moderate quality"
A94 RW26 "moderate quality"
A175 RW260 "low quality"
A700 RW260 "low quality"
A200 RW261 "low quality"
A562 RW261 "low quality"
A592 RW261 "low quality"
A655 RW261 "low quality"
A175 RW262 "moderate quality"
A18 RW262 "moderate quality"
A44 RW262 "moderate quality"
A559 RW262 "moderate quality"
A580 RW262 "moderate quality"
A658 RW262 "moderate quality"
A464 RW266 "moderate quality"
A481 RW266 "moderate quality"
A426 RW267 "moderate quality"
A518 RW267 "moderate quality"
A288 RW268 "moderate quality"
